epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1939,1.35941,7.2508,0.01113,0.01012,0.30166,0.0128,0.00868,1.17366,4.83671,0.01305,5.07814e-05,5.07814e-05,5.07814e-05
2,48.6874,1.20046,4.86671,0.00946,0.10428,0.26797,0.05577,0.0395,1.0674,3.71694,0.01175,0.000100851,0.000100851,0.000100851
3,71.8794,1.21298,3.66673,0.00968,0.4624,0.20002,0.19225,0.13628,1.11312,3.08492,0.01227,0.00014965,0.00014965,0.00014965
4,95.062,1.22898,2.85004,0.00979,0.5897,0.31851,0.37616,0.25681,1.16851,2.487,0.01284,0.000148283,0.000148283,0.000148283
5,118.315,1.20706,2.30199,0.00966,0.59906,0.40772,0.48591,0.33145,1.21771,1.97863,0.01339,0.000146377,0.000146377,0.000146377
6,141.521,1.21907,1.93215,0.00976,0.58225,0.55235,0.58501,0.38881,1.22469,1.6777,0.01348,0.000144471,0.000144471,0.000144471
7,164.656,1.22261,1.74656,0.00971,0.61439,0.60327,0.67773,0.44865,1.24542,1.4233,0.01365,0.000142566,0.000142566,0.000142566
8,187.894,1.20729,1.56126,0.00961,0.64966,0.63893,0.70064,0.46854,1.24574,1.31206,0.01379,0.00014066,0.00014066,0.00014066
9,211.22,1.21368,1.42787,0.00956,0.65221,0.67391,0.71578,0.47355,1.23791,1.2591,0.01368,0.000138754,0.000138754,0.000138754
10,234.628,1.20135,1.32884,0.00948,0.67152,0.69304,0.76241,0.50984,1.22845,1.14372,0.01345,0.000136848,0.000136848,0.000136848
11,258.166,1.20196,1.27742,0.00945,0.73181,0.73566,0.79734,0.52045,1.22791,1.06338,0.01352,0.000134942,0.000134942,0.000134942
12,281.467,1.17992,1.22689,0.00936,0.74402,0.73189,0.79251,0.52386,1.2427,1.04297,0.01375,0.000133037,0.000133037,0.000133037
13,304.447,1.17223,1.14919,0.00924,0.72864,0.7684,0.80312,0.53128,1.24469,0.99792,0.01373,0.000131131,0.000131131,0.000131131
14,327.713,1.16116,1.12884,0.0093,0.75961,0.76143,0.81263,0.54018,1.23549,0.97152,0.01352,0.000129225,0.000129225,0.000129225
15,350.967,1.15664,1.08788,0.00921,0.75232,0.7787,0.83082,0.54468,1.24721,0.9474,0.01367,0.00012732,0.00012732,0.00012732
16,374.485,1.14984,1.05345,0.00907,0.74207,0.78683,0.81927,0.5501,1.23625,0.91883,0.01358,0.000125414,0.000125414,0.000125414
17,397.657,1.1301,1.02094,0.00891,0.77998,0.76975,0.82424,0.55169,1.25203,0.90714,0.01381,0.000123508,0.000123508,0.000123508
18,420.573,1.14052,1.01647,0.00914,0.78852,0.80111,0.8461,0.5656,1.25428,0.87638,0.01386,0.000121602,0.000121602,0.000121602
19,443.773,1.12436,0.98413,0.0089,0.81038,0.80865,0.85353,0.57217,1.27057,0.85807,0.01404,0.000119696,0.000119696,0.000119696
20,466.827,1.11863,0.94236,0.00891,0.79861,0.79998,0.85741,0.5721,1.28355,0.84064,0.01421,0.000117791,0.000117791,0.000117791
21,489.777,1.11003,0.92393,0.00862,0.79679,0.79987,0.85864,0.5767,1.26665,0.84445,0.01403,0.000115885,0.000115885,0.000115885
22,512.958,1.11781,0.91982,0.00885,0.78891,0.82281,0.86367,0.58476,1.27045,0.82364,0.01402,0.000113979,0.000113979,0.000113979
23,536.062,1.0958,0.90777,0.00859,0.80745,0.81559,0.86768,0.58204,1.26904,0.82835,0.01394,0.000112074,0.000112074,0.000112074
24,559.124,1.08815,0.85538,0.00854,0.77795,0.82129,0.85245,0.56502,1.29493,0.84074,0.01441,0.000110168,0.000110168,0.000110168
25,582.112,1.09047,0.86108,0.00835,0.817,0.80925,0.85739,0.57206,1.28705,0.80749,0.01424,0.000108262,0.000108262,0.000108262
26,605.026,1.07868,0.84813,0.00846,0.78841,0.81651,0.86654,0.5777,1.29144,0.80645,0.01416,0.000106356,0.000106356,0.000106356
27,627.929,1.07108,0.8276,0.00845,0.80991,0.81158,0.86952,0.57601,1.30608,0.80586,0.01435,0.00010445,0.00010445,0.00010445
28,650.884,1.07421,0.82606,0.00844,0.78832,0.84241,0.86768,0.57001,1.33016,0.7748,0.01462,0.000102545,0.000102545,0.000102545
29,673.783,1.06799,0.81591,0.00853,0.82345,0.84109,0.8803,0.58368,1.30231,0.76799,0.01433,0.000100639,0.000100639,0.000100639
30,696.807,1.05881,0.81462,0.00818,0.85067,0.82145,0.87603,0.57275,1.30723,0.76228,0.01437,9.87332e-05,9.87332e-05,9.87332e-05
31,719.818,1.04915,0.79163,0.00829,0.84247,0.84394,0.88215,0.57907,1.33847,0.75985,0.01486,9.68275e-05,9.68275e-05,9.68275e-05
32,742.686,1.03823,0.77816,0.00823,0.8105,0.85001,0.88181,0.57648,1.33626,0.74106,0.01477,9.49218e-05,9.49218e-05,9.49218e-05
33,765.642,1.02405,0.75358,0.00802,0.83043,0.83676,0.89167,0.58727,1.31034,0.71418,0.01438,9.3016e-05,9.3016e-05,9.3016e-05
34,788.58,1.03793,0.7531,0.00812,0.82755,0.86245,0.89635,0.59385,1.31273,0.72644,0.01431,9.11103e-05,9.11103e-05,9.11103e-05
35,811.6,1.02767,0.7449,0.00809,0.85492,0.84369,0.89811,0.59393,1.32061,0.71222,0.01456,8.92045e-05,8.92045e-05,8.92045e-05
36,834.623,1.03092,0.72806,0.00814,0.82174,0.88016,0.88999,0.58484,1.31795,0.69983,0.01449,8.72988e-05,8.72988e-05,8.72988e-05
37,857.516,1.02117,0.71056,0.00809,0.8561,0.85833,0.89192,0.58907,1.32353,0.70891,0.01467,8.5393e-05,8.5393e-05,8.5393e-05
38,880.582,1.04192,0.73485,0.00816,0.85793,0.82435,0.88638,0.58329,1.31933,0.6997,0.0145,8.34872e-05,8.34872e-05,8.34872e-05
39,903.618,1.01276,0.71785,0.00784,0.85474,0.84798,0.89793,0.58873,1.35394,0.67459,0.01492,8.15815e-05,8.15815e-05,8.15815e-05
40,926.717,1.00853,0.69379,0.00785,0.83794,0.83401,0.89189,0.59237,1.32748,0.67509,0.01459,7.96757e-05,7.96757e-05,7.96757e-05
41,949.629,1.01526,0.70724,0.00787,0.84561,0.87004,0.90233,0.59569,1.34689,0.67542,0.0148,7.777e-05,7.777e-05,7.777e-05
42,972.835,0.99274,0.68668,0.0077,0.86241,0.85324,0.90604,0.60053,1.32721,0.67003,0.01456,7.58643e-05,7.58643e-05,7.58643e-05
43,995.689,0.98199,0.67483,0.00761,0.84454,0.87755,0.89617,0.58765,1.3417,0.66915,0.01483,7.39585e-05,7.39585e-05,7.39585e-05
44,1018.62,0.99047,0.67075,0.00761,0.86213,0.87893,0.91093,0.59821,1.32686,0.66219,0.01458,7.20528e-05,7.20528e-05,7.20528e-05
45,1041.46,0.9869,0.67748,0.00763,0.86328,0.86769,0.91263,0.59449,1.34484,0.67215,0.01479,7.0147e-05,7.0147e-05,7.0147e-05
46,1064.29,0.99081,0.67244,0.00772,0.84982,0.86975,0.90211,0.59443,1.34647,0.66892,0.01478,6.82413e-05,6.82413e-05,6.82413e-05
47,1087.16,0.99512,0.67203,0.00786,0.89497,0.84044,0.90863,0.59773,1.33918,0.65969,0.01462,6.63355e-05,6.63355e-05,6.63355e-05
48,1110.21,0.9641,0.64034,0.00736,0.87237,0.8595,0.90905,0.59719,1.33389,0.66664,0.01464,6.44298e-05,6.44298e-05,6.44298e-05
49,1133.21,0.97752,0.6624,0.00753,0.8647,0.872,0.90811,0.59949,1.33315,0.63986,0.01459,6.2524e-05,6.2524e-05,6.2524e-05
50,1156.13,0.96401,0.64467,0.00757,0.84895,0.87937,0.90618,0.59607,1.34089,0.63965,0.01463,6.06182e-05,6.06182e-05,6.06182e-05
51,1179,0.96506,0.63389,0.00748,0.84826,0.89396,0.90902,0.59695,1.35278,0.64406,0.01479,5.87125e-05,5.87125e-05,5.87125e-05
52,1201.81,0.95452,0.6339,0.00743,0.86919,0.84852,0.90206,0.59564,1.34454,0.65214,0.01467,5.68068e-05,5.68068e-05,5.68068e-05
53,1224.69,0.97384,0.62992,0.00751,0.87727,0.86207,0.90814,0.59939,1.33937,0.65011,0.01471,5.4901e-05,5.4901e-05,5.4901e-05
54,1247.55,0.96184,0.6335,0.00739,0.8719,0.87273,0.90679,0.59959,1.34482,0.64469,0.01472,5.29953e-05,5.29953e-05,5.29953e-05
55,1270.43,0.95382,0.61784,0.00723,0.85581,0.88957,0.90938,0.6011,1.3309,0.62996,0.0145,5.10895e-05,5.10895e-05,5.10895e-05
56,1293.37,0.95887,0.61547,0.00748,0.87628,0.88975,0.921,0.60623,1.336,0.63887,0.0146,4.91838e-05,4.91838e-05,4.91838e-05
57,1316.28,0.94517,0.60772,0.00736,0.88601,0.88076,0.91765,0.60192,1.33666,0.63412,0.01459,4.7278e-05,4.7278e-05,4.7278e-05
58,1339.14,0.94249,0.60923,0.00721,0.886,0.87034,0.91284,0.60485,1.34078,0.63357,0.01463,4.53722e-05,4.53722e-05,4.53722e-05
